"M","K","u","v","CC","CD","DC","DD"
1,1,0.001,0.001,0.211576923076923,0.2181193806193799,0.2818806193806201,0.288423076923077
1,1,0.001,0.0014953487812212204,0.211576923076923,0.22105975237039985,0.2789402476296002,0.288423076923077
1,1,0.001,0.0022360679774997894,0.211576923076923,0.22512641662573568,0.2748735833742643,0.288423076923077
1,1,0.001,0.0033437015248821097,0.211576923076923,0.2305514549085341,0.2694485450914659,0.288423076923077
1,1,0.001,0.004999999999999999,0.211576923076923,0.237426936862421,0.262573063137579,0.288423076923077
1,1,0.001,0.007476743906106102,0.211576923076923,0.24553848541129245,0.2544615145887075,0.288423076923077
1,1,0.001,0.011180339887498947,0.211576923076923,0.2542109067030179,0.24578909329698212,0.288423076923077
1,1,0.001,0.016718507624410548,0.211576923076923,0.26231210024114804,0.23768789975885196,0.288423076923077
1,1,0.001,0.024999999999999994,0.211576923076923,0.26855138658662264,0.23144861341337736,0.288423076923077
1,1,0.001,0.037383719530530504,0.211576923076923,0.2720007905567985,0.2279992094432015,0.288423076923077
1,1,0.001,0.05590169943749473,0.211576923076923,0.272503214389885,0.227496785610115,0.288423076923077
1,1,0.001,0.08359253812205272,0.211576923076923,0.27066220187444545,0.22933779812555458,0.288423076923077
1,1,0.001,0.12499999999999994,0.211576923076923,0.2674647280662404,0.2325352719337596,0.288423076923077
1,1,0.001,0.18691859765265248,0.211576923076923,0.2638500276297242,0.2361499723702758,0.288423076923077
1,1,0.001,0.27950849718747356,0.211576923076923,0.26046394392596994,0.23953605607403003,0.288423076923077
1,1,0.001,0.41796269061026353,0.211576923076923,0.2576258319908525,0.2423741680091475,0.288423076923077
1,1,0.001,0.6249999999999997,0.211576923076923,0.2554137394748273,0.24458626052517266,0.288423076923077
2,1,0.001,0.001,0.21484815184815154,0.2181193806193799,0.2818806193806201,0.28515184815184846
2,1,0.001,0.0014953487812212204,0.21631833772366132,0.22105975237039985,0.2789402476296002,0.2836816622763387
2,1,0.001,0.0022360679774997894,0.21835166985132934,0.22512641662573568,0.2748735833742643,0.28164833014867063
2,1,0.001,0.0033437015248821097,0.22106418899272848,0.2305514549085341,0.2694485450914659,0.2789358110072715
2,1,0.001,0.004999999999999999,0.22450192996967197,0.237426936862421,0.262573063137579,0.27549807003032806
2,1,0.001,0.007476743906106102,0.2285577042441076,0.24553848541129245,0.2544615145887075,0.2714422957558924
2,1,0.001,0.011180339887498947,0.2328939148899706,0.2542109067030179,0.24578909329698212,0.26710608511002937
2,1,0.001,0.016718507624410548,0.23694451165903552,0.26231210024114804,0.23768789975885196,0.2630554883409645
2,1,0.001,0.024999999999999994,0.2400641548317729,0.26855138658662264,0.23144861341337736,0.2599358451682271
2,1,0.001,0.037383719530530504,0.24178885681686058,0.2720007905567985,0.2279992094432015,0.2582111431831394
2,1,0.001,0.05590169943749473,0.24204006873340406,0.272503214389885,0.227496785610115,0.25795993126659594
2,1,0.001,0.08359253812205272,0.2411195624756842,0.27066220187444545,0.22933779812555458,0.25888043752431583
2,1,0.001,0.12499999999999994,0.2395208255715817,0.2674647280662404,0.2325352719337596,0.26047917442841834
2,1,0.001,0.18691859765265248,0.23771347535332354,0.2638500276297242,0.2361499723702758,0.26228652464667646
2,1,0.001,0.27950849718747356,0.23602043350144639,0.26046394392596994,0.23953605607403003,0.2639795664985536
2,1,0.001,0.41796269061026353,0.23460137753388766,0.2576258319908525,0.2423741680091475,0.26539862246611234
2,1,0.001,0.6249999999999997,0.2334953312758751,0.2554137394748273,0.24458626052517266,0.2665046687241249
2,2,0.001,0.001,0.173153846153846,0.18623876123876026,0.31376123876123974,0.326846153846154
2,2,0.001,0.0014953487812212204,0.173153846153846,0.1921195047407988,0.3078804952592012,0.326846153846154
2,2,0.001,0.0022360679774997894,0.173153846153846,0.20025283325147183,0.2997471667485282,0.326846153846154
2,2,0.001,0.0033437015248821097,0.173153846153846,0.21110290981706842,0.2888970901829316,0.326846153846154
2,2,0.001,0.004999999999999999,0.173153846153846,0.22485387372484067,0.27514612627515933,0.326846153846154
2,2,0.001,0.007476743906106102,0.173153846153846,0.2410769708225849,0.2589230291774151,0.326846153846154
2,2,0.001,0.011180339887498947,0.173153846153846,0.25842181340603493,0.2415781865939651,0.326846153846154
2,2,0.001,0.016718507624410548,0.173153846153846,0.2746242004822961,0.22537579951770392,0.326846153846154
2,2,0.001,0.024999999999999994,0.173153846153846,0.2871027731732451,0.21289722682675485,0.326846153846154
2,2,0.001,0.037383719530530504,0.173153846153846,0.29400158111359764,0.20599841888640236,0.326846153846154
2,2,0.001,0.05590169943749473,0.173153846153846,0.2950064287797698,0.2049935712202302,0.326846153846154
2,2,0.001,0.08359253812205272,0.173153846153846,0.291324403748891,0.20867559625110899,0.326846153846154
2,2,0.001,0.12499999999999994,0.173153846153846,0.2849294561324807,0.2150705438675193,0.326846153846154
2,2,0.001,0.18691859765265248,0.173153846153846,0.2777000552594483,0.2222999447405517,0.326846153846154
2,2,0.001,0.27950849718747356,0.173153846153846,0.27092788785194,0.22907211214806,0.326846153846154
2,2,0.001,0.41796269061026353,0.173153846153846,0.2652516639817051,0.23474833601829492,0.326846153846154
2,2,0.001,0.6249999999999997,0.173153846153846,0.26082747894965463,0.23917252105034537,0.326846153846154
3,1,0.001,0.001,0.21593856143856135,0.21811938061938002,0.28188061938062,0.2840614385614386
3,1,0.001,0.0014953487812212204,0.21789880927257407,0.22105975237039968,0.27894024762960035,0.2821011907274259
3,1,0.001,0.0022360679774997894,0.2206099187761314,0.22512641662573563,0.2748735833742644,0.2793900812238686
3,1,0.001,0.0033437015248821097,0.22422661096466331,0.2305514549085331,0.2694485450914669,0.2757733890353367
3,1,0.001,0.004999999999999999,0.2288102656005887,0.23742693686242056,0.26257306313757944,0.2711897343994113
3,1,0.001,0.007476743906106102,0.23421796463316955,0.2455384854112927,0.2544615145887073,0.2657820353668304
3,1,0.001,0.011180339887498947,0.23999957882765316,0.2542109067030173,0.24578909329698267,0.26000042117234684
3,1,0.001,0.016718507624410548,0.24540037451974012,0.2623121002411476,0.23768789975885238,0.2545996254802599
3,1,0.001,0.024999999999999994,0.24955989875005605,0.2685513865866225,0.23144861341337755,0.250440101249944
3,1,0.001,0.037383719530530504,0.25185950139684027,0.27200079055679854,0.22799920944320146,0.24814049860315973
3,1,0.001,0.05590169943749473,0.25219445061889756,0.2725032143898849,0.2274967856101151,0.2478055493811024
3,1,0.001,0.08359253812205272,0.2509671089419381,0.27066220187444545,0.22933779812555455,0.24903289105806192
3,1,0.001,0.12499999999999994,0.2488354597364679,0.2674647280662403,0.2325352719337597,0.2511645402635321
3,1,0.001,0.18691859765265248,0.2464256594454571,0.26385002762972404,0.23614997237027593,0.25357434055454287
3,1,0.001,0.27950849718747356,0.24416827030962107,0.26046394392596994,0.23953605607403008,0.25583172969037893
3,1,0.001,0.41796269061026353,0.24227619568620934,0.2576258319908525,0.24237416800914754,0.25772380431379066
3,1,0.001,0.6249999999999997,0.24080146734219257,0.2554137394748274,0.24458626052517263,0.25919853265780746
3,2,0.001,0.001,0.17751548451548457,0.18623876123876001,0.31376123876123996,0.3224845154845154
3,2,0.001,0.0014953487812212204,0.17947573234949696,0.1921195047407977,0.3078804952592023,0.320524267650503
3,2,0.001,0.0022360679774997894,0.18218684185305425,0.20025283325147195,0.2997471667485281,0.3178131581469458
3,2,0.001,0.0033437015248821097,0.18580353404158584,0.2111029098170662,0.2888970901829338,0.31419646595841416
3,2,0.001,0.004999999999999999,0.19038718867751192,0.22485387372484178,0.2751461262751582,0.3096128113224881
3,2,0.001,0.007476743906106102,0.19579488771009243,0.2410769708225851,0.2589230291774149,0.30420511228990754
3,2,0.001,0.011180339887498947,0.2015765019045757,0.25842181340603504,0.241578186593965,0.2984234980954243
3,2,0.001,0.016718507624410548,0.20697729759666333,0.2746242004822954,0.2253757995177046,0.29302270240333667
3,2,0.001,0.024999999999999994,0.21113682182697885,0.28710277317324506,0.21289722682675494,0.28886317817302115
3,2,0.001,0.037383719530530504,0.2134364244737629,0.2940015811135974,0.2059984188864026,0.2865635755262371
3,2,0.001,0.05590169943749473,0.21377137369582086,0.29500642877976957,0.20499357122023046,0.2862286263041791
3,2,0.001,0.08359253812205272,0.2125440320188612,0.291324403748891,0.20867559625110896,0.2874559679811388
3,2,0.001,0.12499999999999994,0.21041238281339086,0.2849294561324804,0.21507054386751961,0.28958761718660914
3,2,0.001,0.18691859765265248,0.20800258252238008,0.2777000552594482,0.22229994474055179,0.2919974174776199
3,2,0.001,0.27950849718747356,0.205745193386544,0.2709278878519398,0.22907211214806023,0.294254806613456
3,2,0.001,0.41796269061026353,0.20385311876313222,0.2652516639817049,0.23474833601829506,0.2961468812368678
3,2,0.001,0.6249999999999997,0.20237839041911537,0.26082747894965475,0.23917252105034528,0.2976216095808846
3,3,0.001,0.001,0.13473076923076896,0.15435814185814567,0.34564185814185433,0.365269230769231
3,3,0.001,0.0014953487812212204,0.13473076923076896,0.1631792571112022,0.3368207428887978,0.365269230769231
3,3,0.001,0.0022360679774997894,0.13473076923076896,0.1753792498772111,0.3246207501227889,0.365269230769231
3,3,0.001,0.0033437015248821097,0.13473076923076896,0.19165436472560463,0.30834563527439535,0.365269230769231
3,3,0.001,0.004999999999999999,0.13473076923076896,0.21228081058726367,0.28771918941273633,0.365269230769231
3,3,0.001,0.007476743906106102,0.13473076923076896,0.23661545623388,0.26338454376611997,0.365269230769231
3,3,0.001,0.011180339887498947,0.13473076923076896,0.26263272010905436,0.23736727989094566,0.365269230769231
3,3,0.001,0.016718507624410548,0.13473076923076896,0.2869363007234468,0.21306369927655322,0.365269230769231
3,3,0.001,0.024999999999999994,0.13473076923076896,0.30565415975987104,0.19434584024012896,0.365269230769231
3,3,0.001,0.037383719530530504,0.13473076923076896,0.31600237167039913,0.1839976283296009,0.365269230769231
3,3,0.001,0.05590169943749473,0.13473076923076896,0.31750964316965663,0.18249035683034337,0.365269230769231
3,3,0.001,0.08359253812205272,0.13473076923076896,0.311986605623338,0.18801339437666198,0.365269230769231
3,3,0.001,0.12499999999999994,0.13473076923076896,0.30239418419872155,0.19760581580127845,0.365269230769231
3,3,0.001,0.18691859765265248,0.13473076923076896,0.2915500828891727,0.2084499171108273,0.365269230769231
3,3,0.001,0.27950849718747356,0.13473076923076896,0.28139183177791033,0.21860816822208967,0.365269230769231
3,3,0.001,0.41796269061026353,0.13473076923076896,0.2728774959725577,0.22712250402744227,0.365269230769231
