"u","v","y","z","g","h"
0.001,0.001,0.9807692307692307,0.9615384615384615,0.9437321937321936,0.935248961564751
0.001,0.0014953487812212204,0.9807692307692307,0.9435618382090873,0.926403266304491,0.9140371216002792
0.001,0.0022360679774997894,0.9807692307692307,0.9179004847782343,0.901646442510209,0.8838331746581121
0.001,0.0033437015248821097,0.9807692307692307,0.8820301744305777,0.8670008814546617,0.8417725339970388
0.001,0.004999999999999999,0.9807692307692307,0.8333333333333334,0.8198924731182796,0.7849988559111838
0.001,0.007476743906106102,0.9807692307692307,0.7697816034845671,0.7582843442880991,0.7115511746629248
0.001,0.011180339887498947,0.9807692307692307,0.6909830056250527,0.6816906886678133,0.6216854102698292
0.001,0.016718507624410548,0.9807692307692307,0.5992544178491148,0.5922404272959115,0.5191584910149667
0.001,0.024999999999999994,0.9807692307692307,0.5000000000000001,0.4950980392156863,0.41150670794633654
0.001,0.037383719530530504,0.9807692307692307,0.4007455821508853,0.39758431625233026,0.30847330774473386
0.001,0.05590169943749473,0.9807692307692307,0.3090169943749475,0.30713048288313904,0.21893642993976664
0.001,0.08359253812205272,0.9807692307692307,0.23021839651543294,0.22916805859799627,0.14807888738357286
0.001,0.12499999999999994,0.9807692307692307,0.1666666666666667,0.1661147902869758,0.09650289709810428
0.001,0.18691859765265248,0.9807692307692307,0.1179698255694223,0.11769279522338866,0.06142459409945078
0.001,0.27950849718747356,0.9807692307692307,0.08209951522176576,0.08196514986699235,0.03869587250314401
0.001,0.41796269061026353,0.9807692307692307,0.056438161790912565,0.05637459996129876,0.024383417629366425
0.001,0.6249999999999997,0.9807692307692307,0.038461538461538484,0.038431998109417484,0.015470689835955093
