"","generations","N","M","K","P","b","c","β","u","v","p1","p2","ϵ","DD_mean_final","DC_mean_final","CD_mean_final","CC_mean_final","y","z","g","h","sia_sid","sia_sjd","id"
"1",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.247311631250017,0.278046756250068,0.253337357499821,0.221304254999774,0.980885052558692,0.962533945900123,0.944895614998375,0.944436266756193,0.221304254999774,0.221621621705984,"run1"
"2",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.259756411249977,0.237555744999979,0.246076701250168,0.256611142499917,0.97963424339192,0.95955911102892,0.940527058652723,0.940115567080777,0.256611142499917,0.256367647072148,"run1"
"3",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.251979564999781,0.222067784999867,0.236423583750045,0.289529066250299,0.980574473070587,0.959891798335633,0.94181978320276,0.941435472372981,0.289529066250299,0.289245650487092,"run1"
"4",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.232454282499844,0.265731688750291,0.295649888749539,0.206164139999706,0.980651139545831,0.957589383464874,0.939214933011625,0.939015051787042,0.206164139999706,0.207341224937956,"run1"
"5",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.237892733749789,0.268198349999898,0.228821218749792,0.265087697500153,0.742157482618342,-0.0256410256377428,0.222273055296857,-0.0253767433469857,0.265087697500153,0.25247134467404,"run1"
"6",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.246415392499797,0.295308971250265,0.234575283749949,0.223700352499985,0.979845101981416,0.96295000602888,0.944190946216889,0.943726739071294,0.223700352499985,0.224170291828175,"run1"
"7",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.214801871249724,0.266254433749919,0.25594973250017,0.262993962499983,0.98034021499385,0.963232192695928,0.94548200115281,0.944794210886289,0.262993962499983,0.26347662597469,"run1"
"8",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.219639397500098,0.288763505000039,0.23079850000019,0.260798597499802,0.980938576275948,0.959969730131391,0.942197442178316,0.941813421183098,0.260798597499802,0.260992203413198,"run1"
"9",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.191711697499839,0.227567095000185,0.287254548749864,0.293466658749747,0.981673836275891,0.960807241285121,0.943876509229412,0.943424736172881,0.293466658749747,0.293780498047456,"run1"
"10",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.254392119999872,0.249569473749908,0.228415983749983,0.267622422500086,0.747654134676536,-0.0256410256377428,0.216392468120951,-0.0253416340960528,0.267622422500086,0.267940937862398,"run1"
"11",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.262133181249835,0.232799366249846,0.26953199625009,0.235535456249688,0.980693359866288,0.962103312054285,0.944217409870104,0.943764623851384,0.235535456249688,0.23564546493786,"run1"
"12",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.233842539999864,0.242604072499894,0.288730437500064,0.234822950000018,0.979688168455905,0.961251970132031,0.942650710127346,0.942060820134299,0.234822950000018,0.235206141340729,"run1"
