generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean,DC_mean,CD_mean,CC_mean,DD_var,DC_var,CD_var,CC_var,set_1_mean,set_2_mean,set_1_var,set_2_var,opinion_-4_mean,opinion_-3_mean,opinion_-2_mean,opinion_-1_mean,opinion_0_mean,opinion_1_mean,opinion_2_mean,opinion_3_mean,opinion_4_mean,opinion_-4_var,opinion_-3_var,opinion_-2_var,opinion_-1_var,opinion_0_var,opinion_1_var,opinion_2_var,opinion_3_var,opinion_4_var,total_means_mean,total_means_var,total_vars_mean,total_vars_var,total_cooperation_mean,total_cooperation_var,party_cooperation_mean,enemy_cooperation_var,cityblock_ind_mean,cityblock_ind_var,cityblock_party_mean,cityblock_party_var,cityblock_enemy_mean,cityblock_enemy_var,cityblock_ind-party_mean,hamming_ind_mean,hamming_ind_var,hamming_party_mean,hamming_party_var,hamming_enemy_mean,hamming_enemy_var,hamming_ind-party_mean,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.2691453711585905,0.2629736867792396,0.23282075928773557,0.23506018277443427,0.18943309071505846,0.18742580889339222,0.1718564316582653,0.1733283797308112,40.0,40.0,0.0,0.0,0.2267126610159633,0.0,0.3197266141818548,0.0,0.0,0.0,0.1954961766391013,0.0,0.25806454816308066,0.1686706214448592,0.0,0.210168970914357,0.0,0.0,0.0,0.15062085519206256,0.0,0.18396048864958994,0.06270377429423477,1.8587340831374934,0.0784031728522454,0.13583837303861582,0.468336111071783,0.2333707227366457,0.22816255450735098,0.240173556564432,0.07774243385761409,0.07732198624494284,0.07775264421842035,0.0774504784527138,0.0777327340148481,0.0773901077657781,-1.0210360806276319e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2680804499999896,0.2590510812500076,0.2360590625000259,0.23680940624985067
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.27127144604047526,0.21750846569397414,0.2819124523937526,0.229307635871798,0.0887522431276541,0.08677184125090147,0.10000730536036066,0.07906980454994288,40.0,40.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102564102564101,7.888609490466176e-31,0.4781923757129592,0.05630006298177821,0.24905591337153768,0.22913646234142157,2.0512820512820507,1.972152372616544e-31,0.0,0.0,4.0,0.0,2.0512820512820507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2850344362499271,0.22072944499973385,0.2729954250000871,0.22124069375003708
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.2347973022334832,0.24778704178960878,0.26119671604462685,0.2562189399322812,0.17314986036361316,0.1797236521212425,0.18589396527896226,0.18356012245758113,40.0,40.0,0.0,0.0,0.2316688551850636,0.0,0.2756966346835203,0.0,0.0,0.0,0.22096778772401182,0.0,0.2716667224074043,0.17124252372916104,0.0,0.1918116065403685,0.0,0.0,0.0,0.16466065615909145,0.0,0.1901979675237623,0.07999573444468143,1.9310150076706938,0.0778749666137839,0.1278527554371228,0.5171440339656448,0.23321957979637176,0.2519427043614452,0.2652013296041996,0.08171062622975155,0.08187067059105094,0.08168436271344183,0.08192368326164258,0.08173557657024574,0.08203904905157924,2.6263516309697344e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24407432374998514,0.25079538874979207,0.255878932500155,0.24925135500011328
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.22331299592705578,0.26590693106072605,0.21183736600903524,0.298942707003183,0.08250499481571087,0.08947099727322763,0.0902409534248502,0.09427643140229011,40.0,40.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102564102564101,7.888609490466176e-31,0.5385080408449948,0.059724874646530875,0.24884157403159352,0.2896664668134013,2.0512820512820507,1.972152372616544e-31,0.0,0.0,4.0,0.0,2.0512820512820507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21740123499987968,0.2707043512502634,0.2144998187499444,0.2973945949999426
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.2739208250599542,0.2651953088780383,0.22763559985357779,0.23324826620842967,0.19174995503416184,0.18766429073499558,0.16924719777969255,0.17244783172577513,40.0,40.0,0.0,0.0,0.27757030957942724,0.0,0.2925377712479016,0.0,0.0,0.0,0.25213362210368767,0.0,0.17775829706898352,0.19300236694579884,0.0,0.19915164892368,0.0,0.0,0.0,0.18166909522591024,0.0,0.1397451880468565,-0.1996240250208875,1.7082516782261403,0.0750903506716187,0.12310535631811388,0.4626592067397307,0.23311107160000263,0.22539827367801618,0.2372609330617145,0.07822133796206243,0.07694542530969245,0.07823923337267417,0.0771074182984958,0.07820433732198126,0.07697804417870097,-1.789541061174773e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2689985412497984,0.26748309499988876,0.22956489874984873,0.23395346500004655
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.30707888016228446,0.2529065359496369,0.19835453620252574,0.24166004768555288,0.0990330654250863,0.0902037867010819,0.07843785147651856,0.09198394470541749,40.0,40.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102564102564101,7.888609490466176e-31,0.46798998735525715,0.06850902526595809,0.2143660840665566,0.2536239032887005,2.0512820512820507,1.972152372616544e-31,0.0,0.0,4.0,0.0,2.0512820512820507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30417383750002974,0.2464513674996947,0.1995476712498354,0.24982712374982705
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.26003203694266463,0.24569295023928056,0.2221110348827203,0.27216397793533453,0.1854822360416898,0.17880493473799475,0.16607838877592082,0.19102907031173522,40.0,40.0,0.0,0.0,0.2577198273488985,0.0,0.24616919187948935,0.0,0.0,0.0,0.2401104561049746,0.0,0.2560005246666375,0.18355783370683673,0.0,0.17871717949166185,0.0,0.0,0.0,0.17521921052722592,0.0,0.18359418488228024,-0.003438605364521932,1.97645985349249,0.0804203490934564,0.1374361789595774,0.4939745221474269,0.23465310438586512,0.2406546698567919,0.2533198522906349,0.07828045035194078,0.07752214518355759,0.07828097225924423,0.07761890734580153,0.07827995454000253,0.07762520703234006,-5.219073034381445e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26676457125007363,0.2289744274999369,0.23591841874970743,0.2683425824997663
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.27534344720314186,0.23609715632793574,0.2270123248882042,0.2615470715807182,0.09110459746067878,0.0904814348854252,0.089011955339986,0.09357301964439117,40.0,40.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102564102564101,7.888609490466176e-31,0.4932182701417201,0.06113372588035581,0.23801611622844943,0.2552021539132706,2.0512820512820507,1.972152372616544e-31,0.0,0.0,4.0,0.0,2.0512820512820507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28453407624998245,0.2309529725000341,0.22903605624987572,0.2554768949998659
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,0.0,0.0,1.0,0.25883447034252943,0.2361584188245323,0.2674774795845845,0.2375296312483538,0.18464799612248659,0.1734669899601969,0.18844481053762246,0.1743423385056696,40.0,40.0,0.0,0.0,0.298066873718507,0.0,0.24501548638802853,0.0,0.0,0.0,0.23749220347265534,0.0,0.2194254364208091,0.2015822637517388,0.0,0.17764526990044952,0.0,0.0,0.0,0.17382649453122806,0.0,0.16448017048917507,-0.15728287459539586,1.9684998198735697,0.07869910502953689,0.13231362110422212,0.5052405012402,0.23357542763522918,0.24614127852633924,0.25909922271386077,0.07936493804097923,0.07887759441965492,0.07934941488994478,0.07895174463902184,0.07937968503446195,0.07901055875932216,1.5523151034439496e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25891263874995457,0.24338064374985927,0.2736170712501142,0.2240896462500243
2.0e7,40.0,2.0,2.0,2.0,1.0,0.2,0.0001,0.001,0.001,1.0,1.0,1.0,0.23648953408391477,0.2938289531206137,0.23087082050717664,0.23881069228829482,0.09759384660614517,0.10215586373385231,0.0830199262771577,0.08767602660819941,40.0,40.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102564102564101,7.888609490466176e-31,0.5019677346485162,0.06242371557209568,0.2288191985413836,0.2731485361071326,2.0512820512820507,1.972152372616544e-31,0.0,0.0,4.0,0.0,2.0512820512820507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243048373750366,0.28660202374961774,0.23415745875003544,0.23619214374978995
