generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final,y,z,g,h,sia_sid,sia_sjd
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.2691724662498457,0.22790526749984957,0.2570378512501179,0.2458844150001223,0.8153846153846154,1.0,0.8153846153846154,0.8153846153846154,0.9,0.8121951219512196
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.2291276699998849,0.2617868875000664,0.24107827874965845,0.2680071637501812,1.0,-0.002564102564102564,-0.002564102564102564,-0.002564102564102564,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.24815846374979159,0.27211683875016124,0.2583158562498604,0.2214088412499825,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.23056474624967083,0.230598166249927,0.2645973625000517,0.2742397250000499,1.0,0.9,0.9,0.9,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.19210014999987474,0.24563785250007036,0.3186715037498391,0.24359049374986272,0.7038461538461539,-0.02564102564102564,0.03717948717948718,-0.008029689608636977,0.325,0.6439024390243903
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.2501064274999356,0.25344714874985547,0.2423855062500149,0.2540609175000133,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.2560894199999603,0.22471803124984308,0.245091714999808,0.2741008337501356,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2251432737500234,0.2728176424998014,0.23623163000000896,0.26580745375002895,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.2508273887499383,0.2713653675003095,0.19684208249996446,0.2809651612499653,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.24064341625010502,0.20817206500007399,0.28556408500013936,0.2656204337495368,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.24680323499979723,0.23363453625020683,0.2654403249997986,0.25412190375017235,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.17145571249986472,0.2735615087501679,0.2234040550000338,0.3315787237496705,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2460856587501014,0.2533390174998489,0.23254805874988743,0.2680272650000754,1.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.28544525125015613,0.2615323300001539,0.2411445987499172,0.2118778199997364,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.2930532249999428,0.23193373750008525,0.2647767662499978,0.21023627124974806,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.2310372187500355,0.28472739250009277,0.24311881624992554,0.24111657250007526,1.0,0.7153846153846154,0.7153846153846154,0.7153846153846154,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.22272558625005937,0.2515330424998857,0.27292035750035903,0.2528210137499035,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2521407325003906,0.2140691237497678,0.27288450125004116,0.260905642499848,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.2645559075002344,0.22572181749980696,0.244688368750105,0.26503390625004625,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.2754779249999677,0.19442466249982976,0.24555771624988113,0.28453969624998393,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.2265088799999997,0.2752245162500956,0.21509271749999728,0.28317388625004236,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.22014469749986465,0.30020778625020983,0.24610872374988627,0.2335387924998982,1.0,0.9,0.9,0.9,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2603483612500772,0.21124430374971814,0.28751001249987707,0.24089732250003973,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.19668221499983152,0.2459962812504096,0.30610809500028846,0.2512134087497318,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.2552978187500674,0.25224989374993945,0.23063710249981764,0.26181518500029943,0.48717948717948717,-0.02564102564102564,0.48717948717948717,-0.02564102564102564,0.0,0.4878048780487805
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.27313738624994327,0.25481426875005725,0.24511972750004454,0.22692861749992976,1.0,0.3435897435897436,0.3435897435897436,0.3435897435897436,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.2500571712502903,0.26829961999976637,0.2570504987499321,0.22459270999979047,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.22391859124993105,0.3002212487500399,0.21211895249984544,0.2637412074999253,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.18124447249981734,0.2519946825000014,0.264952446250028,0.3018083987497987,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.2423098224998863,0.23397220749995104,0.2879315862499242,0.2357863837503327,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.5,0.7439024390243902
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.24821784750010528,0.22903059374967963,0.26119578625011264,0.2615557724999528,1.0,1.0,1.0,1.0,0.975,0.9951219512195122
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.2390991125002551,0.2615056699998882,0.25088192874996995,0.24851328874987377,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2697547012497086,0.22300864874994522,0.28298742250006614,0.2242492274998209,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.1751367487496609,0.27149950999991695,0.2525710350000318,0.3007927062498823,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.23194515874976063,0.24943316375032845,0.278439657500011,0.2401820200000161,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.22629659499984597,0.20441437249982067,0.28458459250001444,0.28470444000014783,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.2794269674997691,0.2904536862502068,0.21280191249994124,0.21731743375001758,0.8153846153846154,1.0,0.8153846153846154,0.8153846153846154,0.0,0.08170731707317073
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.22792657750012643,0.23621029500010707,0.29806466249989905,0.23779846499969773,1.0,1.0,1.0,1.0,0.65,0.6207317073170732
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.22697805874963972,0.23132309374991547,0.3065818474999077,0.23511700000049607,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.24158531749994094,0.22525452499989743,0.2832313625001236,0.24992879500010012,0.8153846153846154,-0.02564102564102564,-0.005128205128205128,-0.026720647773279354,0.1,0.14390243902439023
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.2613932649999002,0.24464790250002671,0.25972448874994514,0.2342343437500244,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.22807138250015113,0.261699407500012,0.24874674375002157,0.2614824662498483,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2690934912500998,0.24035846250023885,0.22492182374966638,0.2656262225001033,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.2722680975001929,0.2754607499998612,0.23392418499978557,0.21834696749987673,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,1.0,1.0,1.0,0.23582538500001984,0.23418250875032925,0.28459197125017455,0.24540013499970031,0.48717948717948717,-0.02564102564102564,0.48717948717948717,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.0,0.0,1.0,0.24225128500008591,0.232371208750235,0.2553614887498956,0.27001601749969034,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.25,0.25,1.0,0.21446706999986456,0.24817226499988052,0.23231817999980334,0.3050424849997739,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.5,0.5,1.0,0.2268943587502279,0.27643548874981094,0.2568610337497419,0.239809118750106,0.9025641025641026,0.7153846153846154,0.6333333333333333,0.6411605937921727,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.001,0.75,0.75,1.0,0.2706873625000986,0.20929351499985166,0.299051457499587,0.22096766499989787,1.0,1.0,1.0,1.0,1.0,1.0
