generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean,DC_mean,CD_mean,CC_mean,DD_var,DC_var,CD_var,CC_var,set_1_mean,set_2_mean,set_3_mean,set_1_var,set_2_var,set_3_var,opinion_-13_mean,opinion_-12_mean,opinion_-11_mean,opinion_-10_mean,opinion_-9_mean,opinion_-8_mean,opinion_-7_mean,opinion_-6_mean,opinion_-5_mean,opinion_-4_mean,opinion_-3_mean,opinion_-2_mean,opinion_-1_mean,opinion_0_mean,opinion_1_mean,opinion_2_mean,opinion_3_mean,opinion_4_mean,opinion_5_mean,opinion_6_mean,opinion_7_mean,opinion_8_mean,opinion_9_mean,opinion_10_mean,opinion_11_mean,opinion_12_mean,opinion_13_mean,opinion_-13_var,opinion_-12_var,opinion_-11_var,opinion_-10_var,opinion_-9_var,opinion_-8_var,opinion_-7_var,opinion_-6_var,opinion_-5_var,opinion_-4_var,opinion_-3_var,opinion_-2_var,opinion_-1_var,opinion_0_var,opinion_1_var,opinion_2_var,opinion_3_var,opinion_4_var,opinion_5_var,opinion_6_var,opinion_7_var,opinion_8_var,opinion_9_var,opinion_10_var,opinion_11_var,opinion_12_var,opinion_13_var,total_means_mean,total_means_var,total_vars_mean,total_vars_var,total_cooperation_mean,total_cooperation_var,party_cooperation_mean,enemy_cooperation_var,cityblock_ind_mean,cityblock_ind_var,cityblock_party_mean,cityblock_party_var,cityblock_enemy_mean,cityblock_enemy_var,cityblock_ind-party_mean,hamming_ind_mean,hamming_ind_var,hamming_party_mean,hamming_party_var,hamming_enemy_mean,hamming_enemy_var,hamming_ind-party_mean,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.38468732168403774,0.3392281797651011,0.15530812887177062,0.1207763696790906,0.22918926607115414,0.21693444506988085,0.12567497525937085,0.10040479782092121,40.0,40.0,40.0,0.0,0.0,0.0,0.08915082699162073,0.0,0.1117506104582994,0.0,0.0,0.0,0.13917199504600025,0.0,0.17955275808040233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11190917156060158,0.0,0.11914066976996278,0.0,0.0,0.0,0.13831107148271826,0.0,0.11101289661039464,0.07728660318155069,0.0,0.0952768134934086,0.0,0.0,0.0,0.11480018742720256,0.0,0.14202057447604313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09549019468041639,0.0,0.1005401699834592,0.0,0.0,0.0,0.11472335217169395,0.0,0.09441556401817741,0.13975893112450383,2.4661131875857936,0.11862992759748264,0.3207601413949841,0.2822419125012803,0.1857566166006662,0.1375036635266246,0.14473824897465565,0.1241882292829901,0.16827603107558997,0.12422676502833763,0.16861760539182896,0.12415162032490998,0.16836124117549797,-3.85357453475034e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38313160124970547,0.3424934724997533,0.1557581399997127,0.11861678624965563
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.3601983702667572,0.33778727290070704,0.158499312027816,0.14351504480471974,0.2222741684811795,0.21630593074684534,0.12799398346187396,0.11724205729822325,40.0,40.0,40.0,0.0,0.0,0.0,0.16435101309161038,0.0,0.09856487507972915,0.0,0.0,0.0,0.12290254039430332,0.0,0.09711612516021526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1301388441589531,0.0,0.08711093127161494,0.0,0.0,0.0,0.09710021127221048,0.0,0.20271545957136336,0.13091465160624707,0.0,0.08536971437468213,0.0,0.0,0.0,0.10406720472545809,0.0,0.0844183366682242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10945207151535404,0.0,0.07616136293975229,0.0,0.0,0.0,0.08420571525264485,0.0,0.15487829228585115,0.04481434751031405,3.7599655063678727,0.17903400828728444,0.6190399343933217,0.30897249484815675,0.19725594786306533,0.15050969855905286,0.1584627962891039,0.1258380334648386,0.17468374528207842,0.1252565877781428,0.17327695727299236,0.12639040686719963,0.176635020558914,0.0005814456866958134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36846014124996396,0.3332201549997923,0.16114719749983392,0.1371725062497773
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.5,0.5,1.0,0.32485922778559845,0.3931451087141606,0.11990485722750795,0.162090806272733,0.21228682150262698,0.2306955502545154,0.10030212010896346,0.13025014076360933,40.0,40.0,40.0,0.0,0.0,0.0,0.32971301918261003,0.0,0.07844421925309893,0.0,0.0,0.0,0.06378583534523137,0.0,0.043283592039800436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061504638249742324,0.0,0.0497842250119875,0.0,0.0,0.0,0.07649649019463943,0.0,0.2969879807228899,0.2119070207822837,0.0,0.06961259013085536,0.0,0.0,0.0,0.057117358649942565,0.0,0.03961506041716159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055245176208056065,0.0,0.04513348406615197,0.0,0.0,0.0,0.06845974048225073,0.0,0.20033153148937027,-0.13234550098080552,5.748553309758177,0.2538868484307876,1.1775231384871312,0.2914813442766775,0.1894416213389368,0.14194558665354529,0.14953575762313215,0.1253849344871618,0.19244091789163972,0.12380473318043879,0.18789595350791474,0.12688612572854854,0.19786769956426067,0.0015802013067229604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31817198624933324,0.38389911874954674,0.13242047249963879,0.16550842249965894
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.75,0.75,1.0,0.3518097915661227,0.326016358276869,0.18219759126680046,0.13997625889020782,0.21958894986263855,0.21205998576579568,0.14254537051041133,0.11444946884469306,40.0,40.0,40.0,0.0,0.0,0.0,0.4035824678565295,0.0,0.03366698979627834,0.0,0.0,0.0,0.028132615103743604,0.0,0.03734520209193321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03673243684819796,0.0,0.030175033045831502,0.0,0.0,0.0,0.03738158403435644,0.0,0.3929836712231294,0.23034000936084384,0.0,0.03153126734619806,0.0,0.0,0.0,0.026202198215122173,0.0,0.03476680326850912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03377871120267802,0.0,0.028616385906486724,0.0,0.0,0.0,0.03457300793078331,0.0,0.22817123748192653,-0.025426612476299324,7.041659783869841,0.33869046907560074,1.8431857444565027,0.33040105118379726,0.2037606229141813,0.16080986795358285,0.16959118323021438,0.13258082639508229,0.2340014126517511,0.12762401308521565,0.21664329112244765,0.13728979903945562,0.2546359010770121,0.004956813309866648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38034157749968117,0.3135443899999052,0.17556636624963648,0.1305476662497977
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,1.0,1.0,1.0,0.2586274161873658,0.2486345222980821,0.2537136859047952,0.23902437560975692,0.08983690143579486,0.10533068484554202,0.09282123353623432,0.09652920455144072,40.0,40.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923,0.0,0.4901333629413088,0.061455665602779146,0.2400518625897114,0.25008150035159754,3.076923076923078,7.888609490466176e-31,0.0,0.0,6.0,0.0,3.076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25920503500032605,0.2506937550000881,0.24690466875000397,0.24319654124972917
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.0,0.0,1.0,0.41230177987212335,0.32364135007548056,0.132472603751522,0.13158426630087408,0.23418186523134815,0.21142612955639112,0.10905458286368166,0.10872820396264851,40.0,40.0,40.0,0.0,0.0,0.0,0.13436552170191546,0.0,0.09394858366952313,0.0,0.0,0.0,0.1689593878355896,0.0,0.12186478072973442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1078619592854467,0.0,0.122178905712283,0.0,0.0,0.0,0.15186161378546592,0.0,0.09895924728004184,0.11151360338726689,0.0,0.08105164403891636,0.0,0.0,0.0,0.1350214365234853,0.0,0.10211098803847016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921024594885934,0.0,0.10300133719046661,0.0,0.0,0.0,0.12363041265781012,0.0,0.08496486919482686,-0.08108345382869703,2.73661727412218,0.12657077259792004,0.3601967221166801,0.2717511039435522,0.18108787483455363,0.13239426351370903,0.13935684042984312,0.13297580927912173,0.18406379495943492,0.13299315079862611,0.18440645806794362,0.13295933483559252,0.1841962267868443,-1.7341519504417487e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42041413874939065,0.32370173624972187,0.12878808499973177,0.12709603999979588
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.25,0.25,1.0,0.38069860246118875,0.3179426101142994,0.15352684424850863,0.14783194317600315,0.22781009544207412,0.20929563744662297,0.12372075136895576,0.11994417678629125,40.0,40.0,40.0,0.0,0.0,0.0,0.23837453397919253,0.0,0.06777416012365776,0.0,0.0,0.0,0.08129284965039724,0.0,0.0814833107509272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07889632617242631,0.0,0.1076838759620069,0.0,0.0,0.0,0.11199134516714748,0.0,0.23250359819424454,0.17333866297673511,0.0,0.05974246101990298,0.0,0.0,0.0,0.07183429386052193,0.0,0.07134898563770505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06942248284290359,0.0,0.0917626442621982,0.0,0.0,0.0,0.09547144544559388,0.0,0.17070566493462247,0.05558238857875618,4.550354099713801,0.21905826518052376,0.872189412030009,0.3083872354908326,0.19567848298231894,0.15022276807879212,0.1581644674120405,0.13778390160459808,0.19652786676962045,0.13718399208626944,0.1950129841983429,0.13835381564701027,0.19865552671025874,0.0005999095183286147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36478050124934247,0.3262302837501508,0.1521724249997485,0.1568167899996283
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.5,0.5,1.0,0.4411146282714095,0.31600114911104726,0.12121662521018749,0.1216675974073557,0.23846707197041425,0.20883126925456844,0.10155057544940459,0.10175899002289913,40.0,40.0,40.0,0.0,0.0,0.0,0.2864916979726834,0.0,0.07094584189189768,0.0,0.0,0.0,0.06064032996442613,0.0,0.03601763966568669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11293009094832827,0.0,0.0239907570005135,0.0,0.0,0.0,0.06496563805746455,0.0,0.3440180044989998,0.1950759468773124,0.0,0.06354004810667693,0.0,0.0,0.0,0.05432359045529165,0.0,0.03262434817195329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09700366350266867,0.0,0.021849127574344734,0.0,0.0,0.0,0.05827991285953461,0.0,0.21637354166533798,0.053036691497961586,5.776601605587568,0.2714496866288636,1.2718635076066362,0.25117278139258525,0.17208133333662043,0.1223170649163834,0.1288557164762019,0.13300511910655322,0.20661049530047196,0.13126689270739486,0.20151355429162768,0.13465643418575365,0.21271031694169137,0.0017382263991583635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4456997574991837,0.3133728387501122,0.1251176762497838,0.11580972749972385
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,0.75,0.75,1.0,0.3308454899530283,0.3157587810689566,0.17680278601095634,0.17659294296705874,0.2134587133355884,0.20839567090959077,0.13855103253186257,0.13951166694228495,40.0,40.0,40.0,0.0,0.0,0.0,0.35604938855281176,0.0,0.013523113137604827,0.0,0.0,0.0,0.0357911369004924,0.0,0.042828979565056685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03186678156295659,0.0,0.015450400530533303,0.0,0.0,0.0,0.046676373795757016,0.0,0.4578138259547874,0.2191386877433263,0.0,0.012578863109241176,0.0,0.0,0.0,0.03335915771209212,0.0,0.0395456469838981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029750757759735933,0.0,0.014233260700461933,0.0,0.0,0.0,0.04284385833462966,0.0,0.23798216700250066,0.32906803449622024,7.078044440573585,0.3328983562919717,1.7982147684445355,0.36145133661452683,0.21357728721173455,0.17593102313203718,0.18552031348248968,0.13082257065230735,0.2305723414356661,0.12593740265260045,0.21359993907178979,0.1354634802520289,0.25058421288743293,0.004885167999706893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33144967749971394,0.3361377987496388,0.16645932874970076,0.16595319499966407
2.0e7,40.0,3.0,3.0,2.0,1.0,0.2,0.001,0.001,0.001,1.0,1.0,1.0,0.3534155164769157,0.25402309005427276,0.22237084875717508,0.1701905447116364,0.12173790952432564,0.10652438540523823,0.09015996107030279,0.06604635670798864,40.0,40.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923,0.0,0.4087932978376943,0.06304120673579697,0.19124785835660052,0.21754543948109376,3.076923076923078,7.888609490466176e-31,0.0,0.0,6.0,0.0,3.076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35239610249968123,0.2526330062501817,0.23042397124995292,0.16454691999983795
